selected_text,analyzed_polarity,sentiment_class
Hi  how are you doing ???  *just joined twitter...,0.0,neutral
tired,-0.4,negative
eating ice cream and then getting ready for graduation.,0.2,positive
Happy Mothers day to all you Mums out there,0.8,positive
freaked,0.0,neutral
unfortunately,-0.5,negative
Gonna read a story bout adam lambert online then bed. Nighty night,0.0,neutral
best,1.0,positive
Pretty,0.25,positive
"Certainly not Cheers than, huh?",-0.10714285714285714,negative
"horrible,",-1.0,negative
busy,0.1,positive
Awesome.,1.0,positive
at least I get to watch over time  Let`s go Pens!!,-0.46875,negative
cool i wear black most of the time when i go out,0.22777777777777777,positive
thanks,0.2,positive
safe,0.5,positive
I wish I was allowed to go,0.0,neutral
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me,0.0,neutral
has tickets.......?,0.0,neutral
"Thank you,",0.0,neutral
ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,-0.125,negative
I love my,0.5,positive
I don`t feel confident,0.5,positive
sad.,-0.5,negative
hahaa your awesomee !,0.0,neutral
awesomeeeee,0.0,neutral
"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",-0.4,negative
"I had it! On my itunes, but then I lost all my songs.",0.0,neutral
What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,-0.1,negative
Not looking forward,0.0,neutral
Poor you,-0.4,negative
not well,0.0,neutral
Not a prob,0.0,neutral
"at dads, watching some mtv and am going on sims2 in a minutee",0.0,neutral
Absolutely,0.2,positive
what`s the matter chickadee?,0.0,neutral
y adore,0.0,neutral
good,0.7,positive
I love him too,0.5,positive
painful.,-0.7,negative
sad?,-0.5,negative
e nice,0.6,positive
i wish,0.0,neutral
Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,0.0,neutral
"Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",0.0,neutral
Humous and Dorito`s.... Oh yes,0.0,neutral
"missed all the awesome weather,",1.0,positive
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,0.14107142857142857,positive
terrible!,-1.0,negative
"Unfortunatley,",0.0,neutral
"That sucks, tho.",-0.3,negative
Hate fighting,-0.8,negative
"I watched that too!!! I didnt want her to win, but she put up a good fight..lol",0.75,positive
Car-warmed Sprite tastes like sore throat,0.0,neutral
Just came 11th in cross country and beat dumbo,0.0,neutral
enjoyable.,0.5,positive
endearing-,0.5,positive
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,-0.3,negative
goooooddd morning tweets!!,0.0,neutral
hate,-0.8,negative
fine!,0.5208333333333334,positive
i don`t like the other ones.,-0.125,negative
Mmmmmmmm... ? it in the morning,0.0,neutral
me neither,0.0,neutral
"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",0.0,neutral
Bugger. forgot I still have washing in my machine,0.0,neutral
"sending love, blessings & healing thoughts to you & family  peace",0.5,positive
.really bad,-0.6999999999999998,negative
"ah yes, I know that feeling",0.0,neutral
Night of the cookers with my dad,0.0,neutral
brutal,-0.875,negative
Nope I am in Coquitlam,0.0,neutral
boring,-1.0,negative
p sounds like fun,0.3,positive
Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,0.05,positive
great,0.8,positive
excited,0.375,positive
good morning,0.7,positive
its the best show EVER!,1.0,positive
messed,0.0,neutral
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,0.2,positive
I want to know when the auditions are Mander! Text or...reply please!,0.0,neutral
NOT THE SECRET NAMEREBECCA PLEASE,-0.4,negative
miss,0.0,neutral
i need to get my computer fixed,0.1,positive
illness,0.0,neutral
"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",0.0875,positive
no sir...i woulda put honey...but i don`t have any,0.0,neutral
i totally loved it!,0.875,positive
i <3 you. u helped me thru the hrdest time of my life!,1.0,positive
sad,-0.5,negative
Finally got a call for marriage counseling 3 days late....,-0.15,negative
ok then,0.5,positive
why baby?,0.0,neutral
sick!,-0.8928571428571429,negative
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,0.0,neutral
oww,0.0,neutral
happy 1 year! <3,1.0,positive
Goooooooooooood Morrrrrrrrning,0.0,neutral
*phew*  Will make a note in case anyone else runs into the same issueï¿½,0.0,neutral
WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,0.0,neutral
This diet is killing me,0.0,neutral
i talk to you,0.0,neutral
bored..,-0.5,negative
e fun,0.3,positive
"So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",0.4333333333333333,positive
What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,-0.375,negative
lost my voice,0.0,neutral
hate,-0.8,negative
I`ve heard this fall. I`m waiting too!,0.0,neutral
more nightmares?  *huggles*,0.5,positive
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy,-0.3333333333333333,negative
headache,0.0,neutral
happy,0.8,positive
Grabbing coffee from  then making mom breakfast,0.0,neutral
going to have fun,0.3,positive
thanks. before the major chop.,0.13125,positive
d thank you!,0.0,neutral
just got up and updated my ipod,0.0,neutral
HAHAHA,0.2,positive
crush,0.0,neutral
Saw James carville in the store today. His head is really that bald,0.2,positive
yellow for   ? http://blip.fm/~5z05g,0.0,neutral
which means you`re just going to have to come back to vancouver and have it our way! hahah,0.0,neutral
Feeling smooth,0.4,positive
Ew traffic,0.0,neutral
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",0.48333333333333334,positive
your not alone...i need coffee too.,0.0,neutral
Sounds like me,0.0,neutral
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,-0.4374999999999999,negative
I hate not having a bike..,-0.8,negative
_nesmith,0.0,neutral
This is worse than taxes.,-0.4,negative
JONAS BROTHERS - Live to party.                It`s rocking so hard,-0.07765151515151517,negative
happy,0.8,positive
would love to test it though.,0.5,positive
Fun night!,0.375,positive
The exception for a short dude: Larenz fineass Tate yum,0.0,neutral
I thought Wolverine was awesome.,1.0,positive
Hopefully,0.0,neutral
Yes i work 6 to 3...,0.0,neutral
"Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",0.13636363636363635,positive
Done at the spa   now meeting vic for some late lunch!,-0.375,negative
Happy,0.8,positive
Always have wanted to go to Oz,0.0,neutral
Thx,0.0,neutral
luv,0.0,neutral
that`s why I need to be there,0.0,neutral
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,0.5,positive
If only we could ever actually be allowed to stay here and do that,0.0,neutral
Let me know how that turns out!!,0.0,neutral
was that sass I detect?  As long as it isn`t back sass! Haha,0.05000000000000001,positive
",ahaha",0.0,neutral
Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,0.0,neutral
I`m not sleeping at all un,0.0,neutral
"Seriously,",-0.3333333333333333,negative
"I live for pain, bring it on",0.13636363636363635,positive
"okay, i`m out for a while  back later!",0.16666666666666666,positive
g What is this powerblog challenge you keep talking about?  I`m a newbie followe,0.0,neutral
died.,0.0,neutral
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,0.25,positive
not going to well!,0.0,neutral
going to shower because i don`t want to smell at school tomorrow,0.0,neutral
Sigh... you know I am...,0.0,neutral
hopefully,0.0,neutral
Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,0.4,positive
just got home from work.... and is chugging down a big bottle of apple juice.,-0.07777777777777779,negative
g harmed,0.0,neutral
what an amazing day.,0.6000000000000001,positive
it was only once for my big brother...and I`m done now,0.0,neutral
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,3.700743415417188e-17,positive
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",0.475,positive
were amazing tonight..,0.6000000000000001,positive
hope,0.0,neutral
it hurts too much...,0.2,positive
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",0.05,positive
Hell Yeah!,0.0,neutral
HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,0.0,neutral
i know!!,0.0,neutral
huh what the ****? Smelly? Noooo. I love alex Vixon,0.5,positive
GREAT,0.8,positive
Happy b-day!,1.0,positive
thank,0.0,neutral
HAPPY,0.8,positive
glad,0.5,positive
Thanks,0.2,positive
twittering after 2 days!,0.0,neutral
Its too nice,0.6,positive
depressed,0.0,neutral
sick.,-0.7142857142857143,negative
Happy Mothers Day people. i love my mom a lot still,0.65,positive
sorry,-0.5,negative
", he was soooo friendly.",0.375,positive
happy,0.8,positive
Is getting the hang of Twitter.,0.0,neutral
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,0.033333333333333326,positive
I want it BACK NOW!:,0.0,neutral
miss,0.0,neutral
"bathing with two little angels, Keyla and Janice.",-0.1875,negative
chocked,0.0,neutral
HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,0.61875,positive
"Family is here,hanging with them",0.0,neutral
.it`s gorgeous out!,0.875,positive
m worried,0.0,neutral
Im not bannished.,0.0,neutral
"Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",0.2857142857142857,positive
"red top tabloids, build em up, knock em down",0.11481481481481481,positive
tonight in party w/ my girls (minus vita),-0.1,negative
why not now you made me sad I thought you`d be jumping for joy,0.15000000000000002,positive
Simple my a#@,0.0,neutral
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",0.05416666666666666,positive
amazing,0.6000000000000001,positive
glad,0.5,positive
I have missed them,0.0,neutral
"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",0.047272727272727286,positive
Hell yeah Kellynn got a Twitter. Finally.,0.0,neutral
as wort,0.0,neutral
better,0.5,positive
Ship. I`m stuck.,0.0,neutral
Cannot wait,0.0,neutral
shame,0.0,neutral
It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,-0.4,negative
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery,-0.1,negative
Definitely pinched a nerve.,0.0,neutral
exhausting!,-0.5,negative
"I was going to go on Sunday, but now I`ve got too much going on that weekend",0.2,positive
Sorry,-0.5,negative
im sad it very hurts,-0.15,negative
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",0.12878787878787878,positive
I`m broke,0.0,neutral
Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,0.090087890625,positive
sore throat. Planning the TET outing to Marwell though...good times,0.0,neutral
it was amazin,0.0,neutral
now a migraine.,0.0,neutral
There!,0.0,neutral
?sucks!?..,-0.375,negative
whens the sway sway winner announced?,0.0,neutral
K will check it out...,0.0,neutral
"doing pretty well,",0.25,positive
"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",0.1953125,positive
I Miss Daddy and Mommy,0.0,neutral
officially depressed,0.0,neutral
I just realized that I can`t forward text msgs with my iPhone.,0.0,neutral
exciting!,0.375,positive
That sucks!,-0.375,negative
bored,-0.5,negative
I am lost.,0.0,neutral
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",0.0,neutral
bad,-0.6999999999999998,negative
LMAO... Smh!  that one threw me off,0.75,positive
oh nice going!,0.75,positive
Is getting ready for work... Working all weekend,0.2,positive
partying,0.0,neutral
i agree with you!,0.0,neutral
Am hopeless at everything else,0.0,neutral
perfect ma,1.0,positive
thanks!,0.25,positive
Sorry,-0.5,negative
I saw amazing heeels. But they were too big,0.30000000000000004,positive
stuck,0.0,neutral
dang,0.0,neutral
i missed all ur tweets,0.0,neutral
Damnit all. That sucks.,-0.3,negative
my boss. She`s moving to NYC,0.0,neutral
this is sooo crazy,-0.6,negative
some stupid ****,-0.7999999999999999,negative
I think i need some new friends,0.13636363636363635,positive
Looking forward to your gig in Ireland!!!  See ya there!,0.0,neutral
Please Re,0.0,neutral
aww  you loooove me,0.3,positive
"is hungry, twitter.  i want food.",0.0,neutral
awesome lucky you,0.6666666666666666,positive
"yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   ha",0.1,positive
love,0.5,positive
"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",0.109375,positive
No fun,-0.15,negative
u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for,0.2,positive
I feel your pain.,0.0,neutral
comes home in two days,0.0,neutral
Sadly,-0.5,negative
Cant wait,0.0,neutral
ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,0.0,neutral
aww I miss driving,0.3,positive
Omg Wango Tango was **** AWSOME! I love my baby for taking me,0.5,positive
its very cool,0.45499999999999996,positive
wish,0.0,neutral
"yeah real hard, but I know you`ll get by with it... smile",-0.06875,negative
that`s not good,-0.35,negative
This has made my night!!  Way too funny!,0.3125,positive
Happy,0.8,positive
I make that same face when I get home and your mom is watching soaps.,0.0,neutral
I have to go to work now.,0.0,neutral
I can`t believe you went and got boba without me.,0.0,neutral
"And to you too, how are you today?",0.0,neutral
Thanks,0.2,positive
19 days and counting,0.0,neutral
sorry  friends,-0.5,negative
BRAINFREEZE,0.0,neutral
Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,0.0,neutral
"My sunburn is peeling,",0.0,neutral
perky purple nail polish isn`t as perky when its chipped,0.0,neutral
"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",0.0,neutral
I don`t have no one to cuddle with..,0.0,neutral
hate,-0.8,negative
.sorry,0.0,neutral
dying,0.0,neutral
qood morninq,0.0,neutral
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,0.0625,positive
needs more followers,0.5,positive
stupid job,-0.7999999999999999,negative
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form,0.153125,positive
the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,0.06818181818181818,positive
Have a good on,0.7,positive
"she is popular,",0.6,positive
Dosen`t Want To,0.0,neutral
His voice is great.,0.8,positive
i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.,0.0,neutral
was hoping to go to Red Lobster this weekend,0.0,neutral
lucky,0.3333333333333333,positive
I sure do hope,0.5,positive
Congrats!,0.0,neutral
passed away,0.0,neutral
you are such amazing people!,0.37500000000000006,positive
cool,0.35,positive
so no rice or crusty bread with the chili .... aawww,0.0,neutral
"We are of like minds this evening , my dear!",0.0,neutral
come and save me from my packing please?!,0.0,neutral
"Yes, I love tea.",0.5,positive
a mouth for sure,0.5,positive
I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,0.0,neutral
thanks!,0.25,positive
s I just don`t entertain him :/,-0.25,negative
kill me,0.0,neutral
both electronic keys stopped working. there is no keyhole!,0.0,neutral
Good,0.7,positive
poor tony,-0.4,negative
Goodmorning,0.0,neutral
I don`t really feel like,0.2,positive
"I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too",0.6,positive
Saw a black snake in the garden.  Went back for a picture and it was gone,-0.08333333333333333,negative
best,1.0,positive
No waterfront anymore,0.0,neutral
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,0.9,positive
feeling like poop!,0.0,neutral
excited,0.375,positive
then you cry ...,0.0,neutral
Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.,0.0,neutral
"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has",0.125,positive
"If u do, please pray 4 me.  Lord knows I need it.",0.0,neutral
aaaaaw i want to live in the USA,0.13636363636363635,positive
Morning tweeple,0.0,neutral
"Hey, I didn`t get any !!!",0.0,neutral
#�NOMBRE?,0.0,neutral
"That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",0.2676136363636364,positive
I don`t want to sit at home,0.0,neutral
wishing,0.0,neutral
concert tonight  chackin out and not coming tomorrow!,0.0,neutral
what happened? I thought you were coming back today....,0.0,neutral
dammit,0.0,neutral
lol.,0.8,positive
Still jealous,0.0,neutral
Me at Forever 21  Ethan couldn`t be there,0.0,neutral
SAD,-0.5,negative
not easy!,-0.27083333333333337,negative
Wow what a beautiful pictur,0.475,positive
Looks good,0.7,positive
"'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....",-0.125,negative
"just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!",0.28409090909090906,positive
but you always have lee. Let`s go to Paris,0.0,neutral
a nice,0.6,positive
having lots of fun,0.3,positive
Bouncing Rush makes me feel nauseous,0.0,neutral
Lovely day for it,0.5,positive
playing singstar without my fave duetter,0.0,neutral
i like,0.0,neutral
That`s just weird... :\,-0.375,negative
im a good daughter,0.7,positive
That`s NOT cool,-0.175,negative
alwas helps.,0.0,neutral
"lacking,",0.0,neutral
cool,0.35,positive
Good,0.7,positive
i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,0.7,positive
swollen.,0.0,neutral
it was hours ago i came in.... and it`s only now i realised when i went to buy something online,0.0,neutral
oh just referring to our lil exchange on LJ with regards to twitter archive postings.,0.0,neutral
Don`t act like u don`t know.,0.0,neutral
best,1.0,positive
! I`m scared of him,0.0,neutral
missing,-0.2,negative
mean!,-0.390625,negative
"not doing so good,",0.7,positive
"back soon, need to run to the shops and cut the grass",0.0,neutral
I`m up. I have a plan to transform my bedroom today. Random.,-0.5,negative
Missing,-0.2,negative
thats another sponsor,0.0,neutral
stuck,0.0,neutral
sad.,-0.5,negative
Sorr,0.0,neutral
is home alone.. Doing hw,0.0,neutral
live in poverty.,0.13636363636363635,positive
not going well,0.0,neutral
uploading all my bamboozle pictures of facebook,0.0,neutral
congratulations,0.0,neutral
I miss it there,0.0,neutral
"Woke Up,I Wanna Stay In My bed",0.0,neutral
wack.,0.0,neutral
"It would be great if those VIPS were for some acts I`d enjoy seeing, but noooo.",0.6000000000000001,positive
Wish I could make it too!!! I hate my commute sometimes,-0.8,negative
hopefully i can make some good tips,0.7,positive
d there wasn`t a chance,0.0,neutral
Hates,0.0,neutral
Thanks for the support,0.2,positive
there`s really no android twitter app of Tweetie`s calibre,-0.1,negative
lovely,0.5,positive
Nyappy mother`s day to your mom`s.,0.0,neutral
yeah.... and im gonna take ur picture off my ipod baby..,0.0,neutral
traumatizing,0.0,neutral
lol same here....wish there was a way to microsize everything...lol,0.4,positive
fail),-0.5,negative
glad,0.5,positive
About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?,0.2,positive
im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!,0.0,neutral
. Tomorrow will be tough!,-0.4861111111111111,negative
miss,0.0,neutral
i`m glad,0.5,positive
Thanks,0.2,positive
i hope,0.0,neutral
"well,",0.0,neutral
nah jkin he`s hot! so... bored now,-0.09375,negative
Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!,0.19166666666666674,positive
yes i have read them many times.,0.5,positive
Cuz you play a grown up on Twitter?,0.0,neutral
i am living in ignorance,0.0,neutral
nope... it is telling you that you want cameo creams,0.0,neutral
AWWWW  we`re gonna miss you!,0.625,positive
its a relaxing place,0.0,neutral
he couldn`t do it should have cost his part.,0.0,neutral
lovely,0.5,positive
. Sorry,-0.5,negative
dammit,0.0,neutral
it was amazing,0.6000000000000001,positive
@ Barbs trying to figure out y the dsl aint connecting. I need my google. Going home to my computer if it don`t start working soon. SMH,0.0,neutral
sick and sad ..,-0.6071428571428572,negative
Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think...,0.22499999999999998,positive
Really wishes he had some spare cash to buy the new Punch Out for Wii,0.16818181818181818,positive
not going,0.0,neutral
So sorry,-0.5,negative
I feel for you  I hope it`s a smooth flight. Be safe,0.45,positive
Can`t sleep..,0.0,neutral
sad.,-0.5,negative
sweet dreams,0.35,positive
hay wats ur AIM? we should chat,0.0,neutral
. Okay kool... I might be touring all summer long but we can make it happen!,0.21875,positive
PAIN.,0.0,neutral
"Time to watch OP, then some Dead Like Me, then sleep.",-0.2,negative
Having dinner with my grandma since I couldn`t be with my mum.,0.0,neutral
haha thanks  its for history and its on how the invention of television has influence america lol,0.4000000000000001,positive
yea so wassup,0.0,neutral
Stupid,-0.7999999999999999,negative
Shopped til i dropped....come bac sunshine i miss u,0.0,neutral
Like,0.0,neutral
Thank you   I`ve had anxiety issues,0.0,neutral
Around 3 hours left until a 3 day weekend and I have waaaay too much work to do.,0.1,positive
loved!,0.875,positive
"there were attempts to somehow extend inner classes, which would be close to #closure, can`t find the ref ATM",0.0,neutral
Yes! Join us! All we require is a cupcake donation...,0.0,neutral
hard,-0.2916666666666667,negative
terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!,-0.23958333333333337,negative
Can`t access your site!,0.0,neutral
Sun is shinning.........at last,0.0,neutral
"slowest train ever,",0.0,neutral
nup no cd either.. just a whole bunch of zeros and ones you can have for free,0.30000000000000004,positive
My graduation day... And i feel like a failure...,-0.3166666666666667,negative
ops   that lol wasnt supposed to got to twitter,0.8,positive
I don`t think I`ve ever been so tierd in my life.U,0.0,neutral
What are u going to do today my girl?,0.0,neutral
why doesnt he want me anymore,0.0,neutral
bad hair day,-0.6999999999999998,negative
headache,0.0,neutral
sorry,-0.5,negative
"I am just `okay-okay` .. like the rest of the sane population in the world, I hate mondays",-0.8,negative
mozart`s requiem!,0.0,neutral
"i think i am a bit, in love with his creations and wit but not that physically attracted to him although he has great style",0.43333333333333335,positive
thanks for another great day!,0.6,positive
huh?,0.0,neutral
"OHSHNAPSSS. is she pissed at blair as usual ? hahah. & yeeeah, i bake cookies",-0.25,negative
no bueno.  hollykins needs to feel better asap.  p.s. i miss you.  you done with uni soon aren`t you?  SOPROUDOFYO,0.5,positive
awesome,1.0,positive
happy,0.8,positive
<---My expression watching this again: http://tinyurl.com/eqbwe,0.0,neutral
Stupid,-0.7999999999999999,negative
I didn`t want to tell you but I think it`s your body odour,0.0,neutral
nice beta for easports still no news on the online for madden,0.6,positive
bad,-0.6999999999999998,negative
missed,0.0,neutral
Unfortunately,-0.5,negative
fun,0.3,positive
Discrimination is not a bad thing.,0.3499999999999999,positive
sure i can talk....the fabulous **** part though is out  sorry dear,0.13333333333333333,positive
"tease,",0.0,neutral
Just got back from working out. I`m feeling pretty good.,0.31666666666666665,positive
Ahhh My Satz blend didn`t save,0.0,neutral
"So!!! Why should that matter? I bet you would be GREAT at it! I do!!! It`s what you love, right? Why not go for it!",0.6190476190476191,positive
Thank the heavens.,0.0,neutral
My ear are popping.,0.0,neutral
bad,-0.6999999999999998,negative
no answer back.,0.0,neutral
